Job name,Duration,Time of execution,Result
AMS.AcceptanceTests.Web,369611,2016-11-16T10:17:11Z,SUCCESS
AMS.AcceptanceTests.Web,370137,2016-11-16T08:46:06Z,SUCCESS
AMS.AcceptanceTests.Web,372512,2016-11-15T14:38:28Z,SUCCESS
AMS.AcceptanceTests.Web,366347,2016-11-15T11:27:50Z,SUCCESS
AMS.AcceptanceTests.Web,494315,2016-11-15T10:52:57Z,SUCCESS
AMS.Core.UnitTests,63184,2016-12-21T15:30:04Z,SUCCESS
AMS.Core.UnitTests,68792,2016-12-21T14:59:43Z,SUCCESS
AMS.Core.UnitTests,71072,2016-12-21T14:40:07Z,SUCCESS
AMS.Core.UnitTests,65983,2016-12-21T14:36:01Z,SUCCESS
AMS.Core.UnitTests,63111,2016-12-21T14:18:06Z,SUCCESS
AMS.Core.UnitTests,64297,2016-12-21T13:22:50Z,SUCCESS
AMS.Core.UnitTests,62028,2016-12-21T13:12:46Z,SUCCESS
AMS.Core.UnitTests,65779,2016-12-21T12:16:02Z,SUCCESS
AMS.Core.UnitTests,63177,2016-12-21T11:51:18Z,SUCCESS
AMS.Core.UnitTests,62359,2016-12-21T09:35:28Z,SUCCESS
AMS.Core.UnitTests,71125,2016-12-21T09:05:13Z,SUCCESS
AMS.Core.UnitTests,68159,2016-12-20T16:22:46Z,SUCCESS
AMS.Core.UnitTests,63513,2016-12-20T10:39:35Z,SUCCESS
AMS.Core.UnitTests,63063,2016-12-19T15:53:02Z,SUCCESS
AMS.Core.UnitTests,65270,2016-12-19T11:52:57Z,SUCCESS
AMS.Core.UnitTests,64091,2016-12-16T10:58:19Z,SUCCESS
AMS.Core.UnitTests,61175,2016-12-15T13:55:20Z,SUCCESS
AMS.Core.UnitTests,63063,2016-12-15T12:07:42Z,SUCCESS
AMS.Core.UnitTests,66691,2016-12-14T10:11:10Z,SUCCESS
AMS.Core.UnitTests,59210,2016-12-12T15:23:16Z,SUCCESS
AMS.Core.UnitTests,62866,2016-12-12T14:14:42Z,SUCCESS
AMS.Core.UnitTests,62289,2016-12-12T14:02:45Z,SUCCESS
AMS.Core.UnitTests,68587,2016-12-12T13:16:16Z,SUCCESS
AMS.Core.UnitTests,70894,2016-12-12T11:28:56Z,SUCCESS
AMS.Core.UnitTests,61711,2016-12-12T11:13:12Z,SUCCESS
AMS.Core.UnitTests,67461,2016-12-12T10:43:12Z,SUCCESS
AMS.Core.UnitTests,64992,2016-12-09T16:17:33Z,SUCCESS
AMS.Core.UnitTests,70817,2016-12-09T15:23:53Z,SUCCESS
AMS.Core.UnitTests,66991,2016-12-09T15:12:53Z,SUCCESS
AMS.Core.UnitTests,66173,2016-12-09T14:22:00Z,SUCCESS
AMS.Core.UnitTests,72148,2016-12-09T12:49:52Z,SUCCESS
AMS.Core.UnitTests,67510,2016-12-09T12:40:17Z,SUCCESS
AMS.Core.UnitTests,62868,2016-12-09T12:11:39Z,SUCCESS
AMS.Core.UnitTests,58131,2016-12-06T17:02:29Z,SUCCESS
AMS.Core.UnitTests,242680,2016-12-06T12:50:49Z,SUCCESS
AMS.Core.UnitTests,61445,2016-12-06T12:34:49Z,SUCCESS
AMS.Core.UnitTests,62808,2016-12-06T11:36:37Z,SUCCESS
AMS.Core.UnitTests,65129,2016-12-06T11:27:39Z,SUCCESS
AMS.Core.UnitTests,64340,2016-12-02T11:01:26Z,SUCCESS
AMS.Core.UnitTests,60453,2016-12-02T10:41:43Z,SUCCESS
AMS.Core.UnitTests,59462,2016-12-01T15:13:45Z,SUCCESS
AMS.Core.UnitTests,72176,2016-11-30T16:43:49Z,SUCCESS
AMS.Core.UnitTests,66734,2016-11-30T16:39:31Z,SUCCESS
AMS.Core.UnitTests,69816,2016-11-30T15:35:44Z,SUCCESS
AMS.Core.UnitTests,67961,2016-11-30T15:01:51Z,SUCCESS
AMS.Core.UnitTests,61623,2016-11-30T12:20:42Z,SUCCESS
AMS.Core.UnitTests,66625,2016-11-30T11:02:02Z,SUCCESS
AMS.Core.UnitTests,62973,2016-11-30T09:47:04Z,SUCCESS
AMS.Core.UnitTests,60097,2016-11-30T08:43:20Z,SUCCESS
AMS.Core.UnitTests,74522,2016-11-29T09:03:52Z,SUCCESS
AMS.Core.UnitTests,63729,2016-11-29T09:01:12Z,SUCCESS
AMS.Core.UnitTests,62243,2016-11-29T08:29:49Z,SUCCESS
AMS.Core.UnitTests,62410,2016-11-28T15:09:45Z,SUCCESS
AMS.Core.UnitTests,62126,2016-11-25T15:44:09Z,SUCCESS
AMS.Core.UnitTests,62122,2016-11-25T11:10:14Z,SUCCESS
AMS.Core.UnitTests,62128,2016-11-22T15:44:36Z,SUCCESS
AMS.Core.UnitTests,84597,2016-11-22T14:50:36Z,SUCCESS
AMS.Core.UnitTests,59210,2016-11-22T14:23:14Z,SUCCESS
AMS.Core.UnitTests,60567,2016-11-22T13:54:52Z,SUCCESS
AMS.Core.UnitTests,62763,2016-11-22T12:19:29Z,SUCCESS
AMS.Core.UnitTests,61702,2016-11-22T11:16:25Z,SUCCESS
AMS.Core.UnitTests,72299,2016-11-22T11:10:03Z,SUCCESS
AMS.Core.UnitTests,67852,2016-11-22T11:06:01Z,SUCCESS
AMS.Core.UnitTests,65934,2016-11-22T10:44:56Z,SUCCESS
AMS.Core.UnitTests,62253,2016-11-22T09:13:20Z,SUCCESS
AMS.Core.UnitTests,199243,2016-11-22T08:21:15Z,SUCCESS
